frequency,Rtings.com,Harman IEM,SenseLab Aizu,SoundGuys.com Studio Curve,SoundGuys.com Headphone Preference Curve,Type 5128 Diffuse Field Response
144.831368,-0.0675148777,0.5652834058,0.7127967448,-0.04901577161,0.5625219851,-2.078712968
145.881663,-0.09248712207,0.5084507329,0.7113056483,-0.04886995614,0.5317408354,-2.076473269
146.939576,-0.1173294798,0.4501731806,0.7092487829,-0.04872314133,0.5025778963,-2.074192483
148.00516,-0.1414763012,0.3914881465,0.7052440068,-0.04857532286,0.4755297551,-2.071904032
149.078472,-0.1662185264,0.3323333714,0.6987848122,-0.04842650974,0.448779651,-2.069642817
150.159567,-0.1892869156,0.2723947456,0.6901903658,-0.04827675448,0.4205635275,-2.067445709
151.248503,-0.213226289,0.211423347,0.6797952115,-0.04812580048,0.3963438978,-2.065357111
152.345335,-0.2360156774,0.149913648,0.667949751,-0.04797348145,0.3769631898,-2.063353205
153.450121,-0.2579680318,0.08814864955,0.6550207371,-0.04782010898,0.3614119195,-2.061382701
154.562918,-0.2800024635,0.02626219599,0.6413917797,-0.0476657812,0.3495324965,-2.059392011
155.683786,-0.3018528031,-0.03507050447,0.6274177163,-0.04751045892,0.3381050096,-2.057325181
156.812782,-0.3228223851,-0.09593135128,0.6111145445,-0.0473541943,0.3259413497,-2.055123819
157.949966,-0.3436703774,-0.1546017795,0.5916750252,-0.04719673413,0.3141008215,-2.052727016
159.095396,-0.3636393236,-0.2113186343,0.5697178348,-0.04703797085,0.3018045862,-2.050071279
160.249132,-0.383484945,-0.2650263312,0.5458904918,-0.04687795388,0.293449745,-2.047082476
161.411235,-0.4024532605,-0.3165035989,0.5208702491,-0.04671662076,0.2891910792,-2.043506264
162.581766,-0.4213153423,-0.3626891955,0.4953650109,-0.04655424627,0.2852927702,-2.039330443
163.760785,-0.4390743332,-0.4044834667,0.4701142732,-0.04639103785,0.2810047889,-2.03467202
164.948354,-0.4562293526,-0.437645244,0.4458566777,-0.04622642488,0.2766858501,-2.029653457
166.144536,-0.4739414142,-0.4622312517,0.4215681642,-0.04606008795,0.2723359743,-2.024402844
167.349392,-0.4900160691,-0.4765018133,0.3965891377,-0.04589265436,0.2679545419,-2.01905407
168.562985,-0.5069421501,-0.4743953794,0.3711457941,-0.04572437326,0.2635412154,-2.013747002
169.785379,-0.5227131368,-0.4672968941,0.3454745655,-0.04555489404,0.2590957754,-2.008627667
171.016638,-0.5376594146,-0.4477256203,0.3198224343,-0.04538411249,0.2546179245,-2.003696622
172.256825,-0.5526706409,-0.4102664864,0.2944472559,-0.04521207676,0.2501076649,-1.998735871
173.506007,-0.5677018377,-0.3672380562,0.2696180888,-0.04503872543,0.245564853,-1.993739146
174.764247,-0.5825337917,-0.3161623375,0.2456034559,-0.04486434119,0.2409891879,-1.988706185
176.031612,-0.5964993492,-0.2639653374,0.2220937812,-0.0446891819,0.2363804801,-1.983636726
177.308167,-0.6103287908,-0.2118423094,0.1988486001,-0.04451240768,0.2317380657,-1.978530504
